price,frequency
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,4544654
78,14930594
79,25194715
80,36201827
81,46621236
82,46510507
83,46380273
84,46266966
85,46169225
86,47268210
87,47136601
88,47017488
89,46900051
90,46775451
91,46246983
92,46899726
93,46795760
94,46693179
95,41806728
96,33292643
97,24879914
98,16563109
99,8348445
100,230096
101,327110
102,455587
103,625705
104,847520
105,1133066
106,1495772
107,1953643
108,2526343
109,3228408
110,4097035
111,5151422
112,6432237
113,7972882
114,9811982
115,11999222
116,14581195
117,17617788
118,21182890
119,25337572
120,30150777
121,35704073
122,42117577
123,49477812
124,57878970
125,67479753
126,78363752
127,74645148
128,76909703
129,79020506
130,78075742
131,77237952
132,79212770
133,80947767
134,76988759
135,78675068
136,80117023
137,78613768
138,77082585
139,78118646
140,78815687
141,73967064
142,74354607
143,74327937
144,71316142
145,68144120
146,67116081
147,65602632
148,58572811
149,56233950
150,53206787
151,47030441
152,40345828
153,35378983
154,29512142
155,25155910
156,25156841
157,25137086
158,25150628
159,25140270
160,25141709
161,25156192
162,25144528
163,25141541
164,25145815
165,25153235
166,25151606
167,25151403
168,25141821
169,25145261
170,25148553
171,25147741
172,25151376
173,25157034
174,25149189
175,25145673
176,25154512
177,25143066
178,25140134
179,25146503
180,25140476
181,23992928
182,23989984
183,22845510
184,22855635
185,21721563
186,21717640
187,20593434
188,20593481
189,19495849
190,19493449
191,18405512
192,18394895
193,17327162
194,17311398
195,16244026
196,16244188
197,15181294
198,15183228
199,14125883
200,14130054
201,13088384
202,13098585
203,12058343
204,12070140
205,11049399
206,11044090
207,10034734
208,10043204
209,9035173
210,9038814
211,8050268
212,8049033
213,7142076
214,7143988
215,6561721
216,6558320
217,5983024
218,5991099
219,5416527
220,5413343
221,4851788
222,4848196
223,4851173
224,4845268
225,4849413
226,4849344
227,4849557
228,4844774
229,4853741
230,4849589
231,4848499
232,4852490
233,4853153
234,4848290
235,4851987
236,4849048
237,4849730
238,4848084
239,4850303
240,4846743
241,4849459
242,4847017
243,4849875
244,4848568
245,4849527
246,4849174
247,4852424
248,4850653
249,4849376
250,4843522
251,4850308
252,4847846
253,4848140
254,4848330
255,4849753
256,4847751
257,4852699
258,4850252
259,4852926
260,4852378
261,4848817
262,4849185
263,4849022
264,4851008
265,4847415
266,4849290
267,4851737
268,4845636
269,4850853
270,4851290
271,4848148
272,4847283
273,4850157
274,4850756
275,4849286
276,4847459
277,4848202
278,4852102
279,4853402
280,4847697
281,4851044
282,4848661
283,4849314
284,4853347
285,4847862
286,4853055
287,4849236
288,4851405
289,4847969
290,4850818
291,4850848
292,4847749
293,4850034
294,4849835
295,4851164
296,4846275
297,4847010
298,4851862
299,4848703
300,4852243
301,4850086
302,4850131
303,4847124
304,4847157
305,4851365
306,4846857
307,4848956
308,4851185
309,4850216
310,4848565
311,4854054
312,4847445
313,4849193
314,4846086
315,4851219
316,4850439
317,4851131
318,4847503
319,4850584
320,4850664
321,4845825
322,4849564
323,4849342
324,4854273
325,4849107
326,4850809
327,4853079
328,4848916
329,4846608
330,4844671
331,4849820
332,4848415
333,4848486
334,4850739
335,4852018
336,4850263
337,4849762
338,4850747
339,4850198
340,4845467
341,4850532
342,4846428
343,4849270
344,4850715
345,4849121
346,4851551
347,4850589
348,4844481
349,4848923
350,4852833
351,4850464
352,4848728
353,4850013
354,4848563
355,4850664
356,4851976
357,4849239
358,4848622
359,4850519
360,4849810
361,4847440
362,4849497
363,4850294
364,4846272
365,4846236
366,4848012
367,4852485
368,4846784
369,4847065
370,4850520
371,4853444
372,4850545
373,4850548
374,4847264
375,4848218
376,4854361
377,4853940
378,4848295
379,4849853
380,4851042
381,4848029
382,4849681
383,4850669
384,4846498
385,4846182
386,4853666
387,4850034
388,4852980
389,4852577
390,4850077
391,4847802
392,4852898
393,4851856
394,4847183
395,4854414
396,4849270
397,4848187
398,4850543
399,4851218
400,4851943
401,4852172
402,4849372
403,4847417
404,4847882
405,4848108
406,4848984
407,4845640
408,4850532
409,4849776
410,4848716
411,4847436
412,4846050
413,4851554
414,4849971
415,4848575
416,4852435
417,4851679
418,4850242
419,4847137
420,4851061
421,4851648
422,4851045
423,4852331
424,4850457
425,4850204
426,4846947
427,4848439
428,4852552
429,4847873
430,4852333
431,4848492
432,4847092
433,4849250
434,4848101
435,4849433
436,4847369
437,4851737
438,4845168
439,4847728
440,4847804
441,4849886
442,4849153
443,4849567
444,4851485
445,4851368
446,4850433
447,4850935
448,4849314
449,4850140
450,4848668
451,4844662
452,4849841
453,4851117
454,4848920
455,4849194
456,4849590
457,4851030
458,4852276
459,4846554
460,4847539
461,4851823
462,4852028
463,4847507
464,4846945
465,4853979
466,4849800
467,4851673
468,4849132
469,4849172
470,4847470
471,4850080
472,4848940
473,4848159
474,4851327
475,4847625
476,4847190
477,4852833
478,4846295
479,4847497
480,4848508
481,4849019
482,4850699
483,4850774
484,4850494
485,4852253
486,4849248
487,4848660
488,4851922
489,4850298
490,4850110
491,4847233
492,4852170
493,4850982
494,4851291
495,4851078
496,4848443
497,4849124
498,4850912
499,4848357
500,4849514
501,4849414
502,4854112
503,4849096
504,4848774
505,4848375
506,4850885
507,4852527
508,4849960
509,4853302
510,4851113
511,4849139
512,4850578
513,4849210
514,4852364
515,4846926
516,4849814
517,4849340
518,4850222
519,4852794
520,4846586
521,4849224
522,4848341
523,4852037
524,4845823
525,4850187
526,4849088
527,4850849
528,4850789
529,4850851
530,4850650
531,4847858
532,4852504
533,4846772
534,4852375
535,4847904
536,4848317
537,4851441
538,4850999
539,4849787
540,4855490
541,4597426
542,4597361
543,4593236
544,4593838
545,4595588
546,4597680
547,4345366
548,4339039
549,4338023
550,4339834
551,4341951
552,4341446
553,4092042
554,4088250
555,4091371
556,4092515
557,4092084
558,4089994
559,3842163
560,3842936
561,3846911
562,3845322
563,3838748
564,3843717
565,3601535
566,3596263
567,3597946
568,3599268
569,3597731
570,3596265
571,3357462
572,3357266
573,3357300
574,3358809
575,3354049
576,3355610
577,3118873
578,3116398
579,3115912
580,3120375
581,3113286
582,3116985
583,2881372
584,2878299
585,2877029
586,2881308
587,2877526
588,2882159
589,2646964
590,2645847
591,2647055
592,2641825
593,2646485
594,2644975
595,2410828
596,2413515
597,2410116
598,2413376
599,2413437
600,2412937
601,2182972
602,2180791
603,2181916
604,2183072
605,2183697
606,2180733
607,1954723
608,1954063
609,1956143
610,1955192
611,1954935
612,1956428
613,1729248
614,1728363
615,1728867
616,1727492
617,1728240
618,1728452
619,1505717
620,1504925
621,1507848
622,1505112
623,1506489
624,1503896
625,1284568
626,1284749
627,1285080
628,1284894
629,1284862
630,1285121
631,1066810
632,1065445
633,1066592
634,1066231
635,1063804
636,1067070
637,847290
638,846260
639,847378
640,848779
641,848216
642,847460
643,633453
644,633698
645,632839
646,634687
647,632806
648,633890
649,421057
650,420940
651,419695
652,420449
653,421270
654,419495
655,208944
656,209063
657,208844
658,208997
659,208823
660,209025